id,file,line,occurrences,priority,kind,quote,reason,replacement
E016,paper-03.html,323,323,Media,Estilo,"There is a belief, so widespread it has become invisible",Apertura solemne sobre una creencia que se puede nombrar directamente.,Teams often build the product before deciding how to explain it. [Reemplaza la primera oración.]
E017,paper-03.html,333,333,Media,Estilo,The message is not the paint. It is the load-bearing wall.,Metáfora de construcción sobreexplotada en la serie; el párrafo siguiente extiende la imagen sin sumar criterio.,What the product promises should shape its design from the start. [Sustituye estas dos oraciones y la continuación de la pared.]
E018,paper-03.html,455,455,Alta,Argumento,The Operating Narrative is the only document that connects strategy to execution without losing meaning at the handoff.,“The only” declara superioridad exclusiva sin mostrar comparación.,The Operating Narrative gives product and communications teams a shared account of what they are building.
E019,paper-03.html,492,492,Alta,Duplicación,You can re-acquire users. You cannot re-earn the clarity you chose not to build in the first place.,Se repite literalmente en paper-04:413. También presenta la pérdida de claridad como irreversible sin justificarlo.,Write down the product’s claim and use it to review the next feature decision.
E020,paper-03.html,493,493,Alta,Duplicación,"That is the architecture. And like any architecture, the time to get it right is before anything is built; not after everything has to be torn down.",También es el cierre literal de paper-04:414; la repetición hace visible la plantilla.,Eliminar después del cierre propuesto anterior.
E021,paper-04.html,288,288,Alta,Argumento,coherence does not break at launch. It breaks in year three.,"Falsa precisión temporal presentada como regla, aunque el fenómeno se describe como gradual y variable.",coherence can erode as the team grows and the original decisions become harder to explain.
E022,paper-04.html,297,297,Alta,Argumento,"the most expensive form of organizational entropy there is, because it is invisible until it is irreversible.",Superlativo e irreversibilidad sin sostén en el pasaje; inflan una observación defendible.,a gradual loss of clarity that can become expensive to reverse.
E023,paper-04.html,346,346,Media,Estilo,An Operating Narrative that is not being used to make decisions is not governance. It is archaeology.,Chiste conceptual con la misma oposición que se repite en casi toda la serie.,Keep the Operating Narrative in use: review it when the product or audience changes.
E024,paper-04.html,413,413,Alta,Duplicación,You can re-acquire users. You cannot re-earn the clarity you chose not to build in the first place.,Copia del final del paper-03; este ensayo necesita terminar en gobernanza a escala.,"When the team changes, revisit the original claim and decide which commitments still hold."
E025,paper-04.html,414,414,Alta,Duplicación,"That is the architecture. And like any architecture, the time to get it right is before anything is built; not after everything has to be torn down.","Segunda oración del cierre compartida con paper-03, sin vínculo específico con mantenimiento.",Eliminar después del cierre propuesto anterior.
E026,paper-05.html,270,270,Media,Estilo,The launch is not a moment. It is an architecture.,La oposición “momento / arquitectura” es una consigna más que una explicación de la secuencia.,"The launch depends on work that starts before the announcement: recruiting users, tracking their behavior, and deciding what would justify scaling."
E027,paper-05.html,373,373,Alta,Coherencia,Only the first constitutes evidence of fit.,El resumen contradice la distinción posterior: el propio texto admite señal de retención en usuarios de cualquier canal.,Acquisition source explains exposure; sustained use provides evidence of fit across both cohorts.
E028,paper-05.html,409,409,Media,Estilo,These three deliverables reposition the PMM from a launch manager to a fit architect.,“Fit architect” agrega una etiqueta profesional sin explicar trabajo adicional.,These three deliverables make the PMM responsible for the evidence used to decide when to scale.
E029,paper-05.html,433,433,Media,Estilo,The Signal Map is not a reporting document. It is a discipline document.,Distinción verbal poco útil: un documento puede cumplir ambas funciones.,Use the Signal Map to keep acquisition volume separate from evidence of sustained use.
E030,paper-05.html,458,458,Alta,Argumento,It is also the only timeline that produces the evidence base the public launch needs to be more than a bet.,Presenta un calendario propuesto como único válido; no encaja con la declaración de hipótesis no validada.,This is the timeline proposed here; teams should test whether it produces better decisions than a shorter launch process.
E031,paper-06.html,300,300,Media,Estilo,The Map You Are Using Is Wrong,Título categórico y acusatorio antes de delimitar el problema.,What the journey map leaves out
E032,paper-06.html,307,307,Alta,Coherencia,That assumption was wrong before it was proven wrong.,Juego verbal que no aclara nada y choca con “Not because it was wrong then” del párrafo siguiente.,These models need a clearer account of how distribution systems influence the decision.
E033,paper-06.html,451,451,Media,Estilo,The map is always the last to know.,Personificación de cierre que reemplaza una instrucción útil.,Compare the journey you planned with how people actually found and understood the product.
E034,paper-06.html,365,365,Alta,Argumento,It is the only measurement that predicts whether the relationship built will hold under pressure.,"Exclusividad predictiva, mientras el mismo ensayo llama a Resonance una orientación diagnóstica sin fórmula.","It asks whether the outcome served the user’s original intent, beyond whether they converted."
E035,before-you-delegate.html,302,302,Media,Estilo,"It is worth being precise about why this happens, because the answer changes what you do about it.",Anuncia precisión durante una oración entera; la explicación puede empezar directamente.,Eliminar y empezar por “The systems that eventually cost you your sovereignty…”.
E036,before-you-delegate.html,302,302,Alta,Argumento,"That is the architecture of every platform, institution, and algorithmic system that has ever extracted value from the builders who depended on it.",“Every” y “ever” convierten el patrón en ley universal.,This is the dependency pattern I want to examine: useful services that become costly to leave.
E037,before-you-delegate.html,380,380,Media,Estilo,That is not a feature. That is the mechanism.,La oposición no distingue categorías excluyentes; repite la idea anterior.,Eliminar. La oración anterior ya dice que la utilidad crea la dependencia.
E038,before-you-delegate.html,457,457,Alta,Argumento,A platform that costs six months of transition work to exit today will cost two years in three years if the integration compounds.,Proyección numérica sin base expuesta: parece una medición y está presentada como certeza.,"Estimate the exit work now, then review how further integrations would change that estimate."
E039,occlusion-bias.html,457,457,Media,Estilo,This is not a small methodological problem. It is the entire argument.,Autoénfasis en lugar de explicar el sesgo.,The visible sample excludes the content the distribution system never surfaced.
E040,occlusion-bias.html,498,498,Media,Estilo,Organizations making rational decisions on top of occluded data are not being irrational. They are being rational about the wrong signal.,Tautología retórica: “rational / irrational / rational” ocupa espacio sin precisar el error.,Teams can mistake the content a platform rewards for the content their audience values.
E041,occlusion-bias.html,655,655,Alta,Coherencia,"Origin Gravity describes a structural force that is real, not a guaranteed outcome","La nota reconoce sesgo de supervivencia, pero enseguida afirma como probado el mecanismo que intenta evaluar.","Origin Gravity is a proposed explanation for these cases, not evidence that the same approach will work for every publisher"
E042,occlusion-bias.html,731,731,Alta,Coherencia,"If the argument here is wrong about the pace, it is not wrong about the direction.",Inmuniza la conclusión contra la evidencia después de dedicar una sección a falsarla.,"The direction, as well as the pace, should be revisited if these indicators do not support the argument."
E043,occlusion-bias.html,697,697,Media,Estilo,The following kill criteria are the honest accounting of what would constitute evidence against each construct.,Segunda fórmula de “honest accounting”; la virtud no necesita anunciarse.,The following observations would count against each construct.
E044,zmox.html,405,405,Alta,Argumento,The oldest known framework for multi-surface presence built around a single coherent lens.,Atribuye a Hokusai una primacía conceptual que surge de la analogía del autor.,I use the series here as an image for a consistent perspective across different contexts.
E045,zmox.html,670,670,Alta,Estilo,Not metaphor. Applied psychology.,Dos fragmentos buscan autoridad científica sin mostrar que la aplicación propuesta esté validada.,I am using that research to propose a design model; the model still needs testing.
E046,zmox.html,1132,1132,Alta,Argumento,No prior framework occupies the top-right quadrant: sustained engagement designed explicitly for deep transformation.,El gráfico seleccionado no demuestra ausencia de modelos previos; autoexcepcionalismo.,This comparison places CAX around sustained engagement and changes in understanding.
E047,zmox.html,940,"940,944",Media,Redundancia,Campbell was not describing a storytelling technique. He was describing a structure of human transformation. The monomyth is the shape that meaningful change takes when it is made narratable.,"Párrafo idéntico en líneas 940 y 944; aunque uno sea destacado, la repetición inmediata frena la lectura.",Conservar una aparición y formular como uso del autor: “I use Campbell’s monomyth here as a way to describe change over time.”
E048,zmox.html,1081,1081,Alta,Argumento,It is aligning itself with the deepest known pattern of how human beings grow.,Superlativo que contradice la cautela anterior sobre Campbell como heurística.,It is using a narrative model to plan how readers might develop their understanding over time.
E049,zmox.html,1664,1664,Alta,Coherencia,and the difference between them is not technical; it is intentional.,"La conclusión atribuye la diferencia a intención, pero la sección ética anterior dice “Intention does not save. Structure does.”",and distinguishing them requires examining user autonomy and the accountability built into the system.
E050,zmox.html,1831,"1831,1920",Media,Estilo,Two iterations post red team,"Nota de proceso interno expuesta en el colofón, sin decir quién revisó ni qué cambió. No prueba uso de IA.","Eliminar de ambas apariciones; conservar autor, versión y fecha. Si se documenta revisión, identificar revisores y alcance reales."
E051,zmox.html,1794,1794,Media,Estilo,This is the return. Not an answer. A lens. The rest is the work.,Cadencia de cuatro remates que se explica a sí misma después de un cierre ya extenso.,Eliminar. Cerrar con la pregunta concreta sobre qué aprende el lector al volver.
E052,already-decided.html,261,261,Media,Estilo,But the point is not the money. The point is that the decisions were already made before I opened my eyes.,Oposición preparada; el hecho es suficientemente fuerte sin anunciar qué no importa.,The decisions were already made before I opened my eyes.
E053,already-decided.html,310,310,Alta,Estilo,But here is what nobody says:,Gancho de revelación exclusiva que no se sostiene ni hace falta.,Eliminar y empezar por “When the nature of the work changes…”.
E054,already-decided.html,310,310,Media,Estilo,That is what cracks. Not headcount. Identity.,Fragmentación enfática que simplifica el vínculo entre cambio laboral e identidad.,People also have to rethink the role they had built their identity around.
E055,already-decided.html,342,342,Media,Duplicación,The distance between those two points is not a career.,El mismo mecanismo de cierre aparece en The Rhyme; repetirlo reduce la identidad de ambas piezas.,"Eliminar el párrafo de cierre que empieza “I started in metrics”; cerrar con las decisiones ya tomadas, que son el tema propio de este ensayo."
E056,the-last-manual-moment.html,350,350,Media,Estilo,The texture of the world before intelligence became abundant.,Abstracción amplia: la preocupación concreta aparece más adelante y se puede anticipar.,What happens to the habit of working through a question when an answer is always available?
E057,the-last-manual-moment.html,394,394,Alta,Argumento,They are structurally incapable of giving you what you didn't know to ask for.,Una incapacidad absoluta sustituye a la pregunta válida sobre sistemas optimizados para preferencias. No queda demostrada en el ensayo.,My concern is whether systems built around our stated preferences leave enough room for encounters we did not plan.
E058,the-last-manual-moment.html,408,408,Media,Estilo,Not efficiently. Seriously.,Contraste llamativo entre dos cualidades compatibles. Puede sostenerse la voz de padre sin esa oposición.,Eliminar esas dos frases: “take their work seriously” ya expresa la idea.
E059,the-last-manual-moment.html,413,413,Media,Estilo,That's not a lesson about AI.,Prepara otro remate universal cuando la relación con Lucas es el cierre más propio.,That is what I want to teach Lucas as this changes. [Sustituye también la frase siguiente sobre “what being a person means”.]
E060,the-great-contraction.html,553,553,Media,Estilo,Something is happening to the world at every scale simultaneously,La escena de la cámara da paso a una universalización repentina.,I see a similar desire for limits in several of the changes discussed here
E061,the-great-contraction.html,581,581,Alta,Argumento,That's not philosophy. That's physics.,Una analogía arquitectónica se usa como prueba del argumento social.,"Eliminar estas dos frases; presentar la imagen del edificio como analogía, no demostración."
E062,the-great-contraction.html,695,695,Media,Estilo,"Because density has a shadow, and the shadow has teeth.",Segunda y tercera metáfora sobre una abstracción; teatraliza el riesgo de exclusión.,The same structures that offer shelter can also exclude people.
E063,the-great-contraction.html,713,713,Alta,Argumento,It split into two extremes with nothing in between.,Binarismo que borra los casos intermedios para lograr contundencia.,I see pressure toward both large shared events and smaller communities.
E064,the-great-contraction.html,778,778,Media,Estilo,You're still here. You read the whole thing. That's a choice. What you do next is another one.,"Interpela y felicita al lector; después de la vuelta a la cámara, prolonga artificialmente el final.",Eliminar. Recomiendo terminar en “But he kept the photos. He chose what stays.” y recortar los párrafos explicativos posteriores.
E065,the-last-scarcity.html,315,315,Media,Estilo,That's it. That simple.,Enfatiza una simplicidad ya expuesta; la operación concreta permite entender la escena.,Eliminar ambas frases.
E066,the-last-scarcity.html,329,329,Alta,Argumento,Impossible to kill.,Garantía absoluta dentro de una anécdota de trading; no se desprende de la estrategia descrita.,Eliminar la garantía y “so it couldn’t blow up”. Describir únicamente el tamaño de apuesta y el funcionamiento que el autor pueda respaldar.
E067,the-last-scarcity.html,364,364,Alta,Argumento,It's the only one that matters. And almost nobody is talking about it.,Combina exclusividad y falsa novedad; además minimiza las escaseces materiales que el ensayo presupone resueltas.,It is the question I want to focus on here: what gives people a reason to act?
E068,the-last-scarcity.html,457,457,Media,Estilo,This sounds like a philosophy lecture. It's a business model.,Eslogan que declara la conclusión antes de explicar el modelo.,I think this also changes what people may be willing to pay for.
E069,the-last-scarcity.html,533,533,Alta,Argumento,He won't need to work to eat. He probably won't need to work to earn.,"Un futuro especulativo se narra como hecho sobre la vida del hijo. Cambiarlo a escenario, no a predicción asegurada.","If he grows up in a world where earning a living requires less work, what will give his days direction?"
E070,the-last-scarcity.html,521,521,Media,Estilo,Read that again slowly.,Orden al lector que intenta fabricar importancia.,Eliminar; la contradicción personal siguiente puede sostenerse sola.
E071,the-last-scarcity.html,607,607,Media,Estilo,That's the answer. You just watched it happen.,Explica el significado del final después de mostrarlo.,Eliminar. Terminar en “Rewriting the last paragraph. Again.” conserva la escena y deja al lector sacar la conclusión.
E072,the-rhyme.html,281,281,Media,Estilo,The crack is the crack. The pattern is the pattern.,Tautologías que imitan profundidad; no describen qué patrón se reconoce.,Eliminar ambas oraciones; pasar de la comparación entre sectores al límite de esa comparación.
E073,the-rhyme.html,294,294,Alta,Argumento,The order varies slightly. The outcome does not.,La analogía histórica se convierte en determinismo.,"The sequence is a useful comparison, though it does not guarantee the same outcome."
E074,the-rhyme.html,360,360,Alta,Argumento,The company was the last community.,"Universaliza una experiencia profesional, pese a que el texto reconoce otras fuentes de comunidad.","For some people, the company is also their main community."
E075,the-rhyme.html,394,394,Alta,Argumento,are about twelve to eighteen months from phase two,Plazo concreto sin método expuesto. La frase de seis a doce meses repite el problema.,may next discover that their team structure no longer matches the cost of iteration. [Quitar ambos calendarios salvo que haya base explícita.]
E076,the-rhyme.html,426,426,Media,Estilo,The rhyme is not the answer. The rhyme is the reason to keep asking.,Nuevo cierre de oposición abstracta después de un pasaje más útil sobre equivocarse.,Eliminar. Terminar en la reflexión sobre cómo los errores previos ayudan a calibrar la comparación.
E077,the-transition-tax.html,351,351,Media,Estilo,Not the most visible thing. Not the thing anyone announces.,Fragmentos de suspense antes de nombrar el descenso de tarifas.,You notice it when the rate drops or a client hesitates. [Unir con los ejemplos que siguen.]
E078,the-transition-tax.html,370,370,Alta,Coherencia,That gap is not fixed by retraining. It is fixed by time.,"Más adelante, en la línea 440, se dice que la devaluación puede abordarse desarrollando habilidades. La oposición crea una contradicción.","Retraining takes time, and workers may face lower rates while they are still adapting."
E079,the-transition-tax.html,405,405,Media,Estilo,That is what vacuums do. They don't stay empty. They fill with whoever got there first.,La metáfora pasa a funcionar como explicación; no identifica quién termina pagando.,"Eliminar. Dejar la discusión sobre cómo se asignan las consecuencias de los errores, con su alcance por verificar."
E080,the-transition-tax.html,466,466,Media,Estilo,That is what every constitution looks like from the inside.,Remate grandioso con un “every” innecesario.,Technical standards can embed choices that later become difficult to revisit.
E081,the-last-human-impression.html,529,529,Media,Estilo,Not announced. Not replaced. Compressed.,Tres fragmentos repiten “compressed” de la oración anterior para fabricar énfasis.,Eliminar estas tres frases; la compresión de la recepción humana ya está explicada.
E082,the-last-human-impression.html,565,565,Media,Estilo,That unevenness is not a reassurance. It is a map.,Consigna que retrasa el ejemplo de dónde afecta más la mediación.,The effect varies by task; the table below separates those cases.
E083,the-last-human-impression.html,592,592,Alta,Argumento,It is the permanent floor of direct human experience value,“Permanent” presenta un límite futuro como demostrado.,These are the experiences this argument expects to remain most resistant to delegation. [Reemplaza la oración completa y conserva su carácter de hipótesis.]
E084,the-last-human-impression.html,694,694,Alta,Argumento,Build the asset now. The conversion path will clarify.,Cierra una incertidumbre económica con una promesa de resolución inevitable.,"Building the archive may help, but the revenue path remains unresolved and should be tested."
E085,the-last-human-impression.html,763,763,Media,Estilo,The ones that wait for the metrics will find it occupied.,Urgencia comercial de plantilla; asegura que esperar datos implica perder la posición.,Start with a small test in your own audience rather than assuming the same transition across every domain.
E086,the-empty-room.html,256,256,Media,Estilo,"You published something last week, or last month.",Apertura que adjudica al lector una experiencia específica no conocida; pierde fuerza frente a un escenario explícito.,Suppose you publish a piece and the engagement looks normal.
E087,the-empty-room.html,274,274,Alta,Argumento,"The system has no reason to filter them out and, increasingly, no way to tell them apart.",Generalización sobre todos los sistemas de medición; el ensayo no demuestra esa incapacidad.,The question for your analytics is whether those requests are being counted alongside human visits.
E088,the-empty-room.html,320,320,Media,Estilo,The room isn't empty. That's the thing. It's full. It's just not full of who you think.,La metáfora y la frase entrecortada vuelven a explicar lo ya argumentado.,Traffic can continue to rise while fewer people read the work directly.
E089,the-empty-room.html,340,"340,347",Media,Redundancia,The clicks are still coming. The question is who's making them.,Aparece en 340 y 347; mantener el cierre una sola vez.,"Conservar solo la aparición final, en el bloque de cierre."
E090,the-proxy-self.html,255,255,Alta,Argumento,"What you were watching, without either of you knowing it, was a proxy.",Diagnostica una escena hipotética como si se conociera lo ocurrido.,One possible explanation is that more of the account’s activity has been delegated.
E091,the-proxy-self.html,311,311,Media,Estilo,"Your professional reputation, in the most literal current sense, is a persistent queryable record",“In the most literal current sense” fuerza una metáfora y “persistent queryable record” reemplaza algo cotidiano por jerga.,Part of your professional reputation is now a searchable record of what you have published
E092,the-proxy-self.html,330,"330,336",Media,Redundancia,The presence persists. The person keeps moving. At some point those two things are worth comparing.,Repetido inmediatamente en las líneas 330 y 336. El contraste sirve; sobra su duplicación.,"Conservar una sola aparición, como cierre."
E093,writing-for-the-filter.html,258,258,Media,Estilo,Nobody updated the playbook.,Muletilla de cambio histórico que ya aparece en varias formulaciones del sitio.,The second filter changes what the first filter’s metrics can tell you.
E094,writing-for-the-filter.html,273,"273,308",Alta,Redundancia,The agent summarizing your content doesn't care about the hook.,"Las secciones 1 y 3 repiten casi el mismo párrafo sobre los dos filtros, el gancho y la compresión.",Mantener la explicación en la sección 1; abrir la sección 3 con lo que se pierde al resumir y quitar la reiteración.
E095,writing-for-the-filter.html,324,324,Media,Estilo,The numbers keep moving. The optimization keeps happening. The gap keeps opening.,Tríada de frases paralelas que fabrica cadencia sin precisar el efecto.,The metrics can keep rewarding changes that do not bring more readers to the original piece.
E096,writing-for-the-filter.html,345,"345,352",Media,Redundancia,The content that matters now is the content that makes someone want to find the source.,Frase duplicada en el último párrafo y el cierre; “the content that matters” también excluye demasiado.,I want to write work that gives someone a reason to seek the original. [Usar una sola vez.]
E097,the-trust-collapse.html,248,248,Media,Estilo,Nobody told you the rules changed. That's the part that stays with you afterward.,Suspense genérico que presupone la reacción del lector.,A byline or a reply can lead a reader to assume a person is behind it.
E098,the-trust-collapse.html,281,281,Alta,Argumento,"The support agent resolves your issue faster than a human could have read your message, and you don't wonder anymore. You know.",Rapidez convertida en prueba de autoría: reproduce justamente el salto que esta auditoría evita.,A very fast reply may make you wonder whether it was automated; speed alone does not settle that question.
E099,the-trust-collapse.html,286,286,Media,Estilo,the category of online presences you assumed were people,La categoría abstracta interrumpe una experiencia que se entiende con verbos comunes.,the accounts you assumed were run directly by the people behind them
E100,the-trust-collapse.html,320,"320,328",Media,Redundancia,Neither position gets you back to the floor you were standing on.,Repetida en 320 y 328; vuelve a una metáfora del piso usada muchas veces.,"Either way, you now have to ask who produced what you are reading. [Una sola aparición.]"
E101,origin-gravity.html,251,251,Media,Estilo,None of it is the thing.,Retiene deliberadamente el referente; forma parte de una secuencia de negaciones antes de decir “origin”.,What interests me is the experience behind the work.
E102,origin-gravity.html,284,284,Media,Estilo,That gap is where the human still lives.,Remate metafísico después de una distinción que puede explicarse sin grandilocuencia.,Eliminar; la comparación entre recibir una respuesta y encontrar nuevas preguntas ya funciona.
E103,origin-gravity.html,315,315,Media,Estilo,Not: be more personal. Not: perform vulnerability.,Fórmula de falsas alternativas antes de una recomendación más concreta.,Write from situations you can describe and questions you have actually worked through. [Sustituir el arranque y enlazar con el resto.]
E104,origin-gravity.html,335,"335,341",Media,Redundancia,It is toward the person the content proves existed.,Repetido en 335 y 341. “Proves existed” dramatiza y no ofrece un criterio de verificación.,They want to keep reading the person behind the work. [Conservar una sola vez.]
E105,origin-gravity.html,333,333,Alta,Coherencia,It is a property of the person who produced it,El ensayo centra Origin Gravity en la persona; Occlusion Bias distingue expresamente editorial gravity de personality gravity. Aclarar si es un cambio o una aplicación del concepto.,"Here I focus on the individual writer; in Occlusion Bias, the same question concerns the accountability of an editorial source. [Insertar aclaración junto a la definición y conservar el término solo con esa distinción.]"
E106,unfinished-arguments.html,418,418,Media,Estilo,"incompleteness here is honest, not lazy.",Defensa anticipada del autor; evaluar honestidad corresponde al contenido y al lector.,These are working questions. I will revise them as evidence or experience changes the argument.
E107,unfinished-arguments.html,516,516,Alta,Argumento,AI systems as currently deployed have no persistent memory across interactions.,"Afirmación universal y temporal sobre una clase heterogénea de sistemas, sin delimitar cuáles. Necesita verificación técnica antes de publicarse como hecho.","For a system that does not retain context between interactions, what kind of continuity can the user reasonably expect?"
E108,unfinished-arguments.html,598,598,Alta,Argumento,Nobody is building that mechanism back in.,Declaración sobre todo el trabajo ajeno sin evidencia presentada.,What mechanisms would make providers and operators accountable for the advice their systems produce?
E109,unfinished-arguments.html,647,647,Alta,Coherencia,both are true simultaneously.,Una sección de argumentos abiertos declara dos hipótesis verdaderas antes de probarlas.,Both possibilities are worth examining together.
E110,nuggets.html,438,438,Media,Estilo,each one reframes a decision you're about to make.,Promete que cada tarjeta modificará una decisión real del lector sin conocerla.,"Short ideas from the essays, with links to the full arguments."
E111,nuggets.html,440,440,Alta,Coherencia,65 Ideas,"La introducción y el filtro dicen 86; el contador visible dice 65. Es un problema editorial, no indicio de autoría.",86 Ideas. El HTML contiene 86 tarjetas con la clase “nugget-card fade-in”.
E112,nuggets.html,564,564,Alta,Coherencia,Zero Moment of Influence,El nombre desarrollado difiere del Zero Moment of Interpretation de la tesis.,Zero Moment of Interpretation
E113,nuggets.html,604,604,Alta,Argumento,Funnels Are Dead,Titular de fórmula “X ha muerto”; simplifica el argumento sobre entradas múltiples.,Readers enter from more than one route
E114,nuggets.html,707,707,Alta,Argumento,Your Best Metrics Are Lying,Personificación alarmista: los datos pueden estar mal interpretados sin mentir.,Check what your metrics actually measure
E115,nuggets.html,718,718,Media,Estilo,Taste Is the New Oil,Metáfora “X es el nuevo petróleo” intercambiable con cualquier tendencia.,Why selection matters when output grows
E116,nuggets.html,729,729,Alta,Argumento,Nobody Will Browse Anymore,Predicción total que borra los límites discutidos en los ensayos originales.,When agents browse on a reader’s behalf
E117,nuggets.html,775,775,Alta,Argumento,"If You Have to Explain It, You've Already Lost",Confunde claridad con ausencia de explicación; gancho más absoluto que la idea que resume.,Explain the product before you scale acquisition
E118,nuggets.html,803,803,Media,Estilo,something magical kicks in,Muletilla promocional en una explicación de producto.,users have a clearer way to describe the product to others [Reformular desde “When that happens” y quitar la promesa de que cada usuario se vuelve un canal.]
E119,nuggets.html,838,838,Media,Estilo,And here's the kicker:,Gancho oral genérico que anuncia un golpe en vez de desarrollar el argumento.,Eliminar; revisar también la afirmación siguiente de que la coherencia no puede recuperarse.
E120,nuggets.html,875,875,Alta,Coherencia,User from a friend's recommendation? Evidence of fit. User from an algorithm? Evidence that the algorithm found a trigger.,"La tarjeta transforma el origen en prueba suficiente de fit, perdiendo la distinción de comportamiento del paper 05.",A recommendation tells you how someone arrived. Retention and use tell you whether the product helps them.
E121,nuggets.html,886,886,Alta,Argumento,"slower to build, impossible to take away.",“Impossible” promete invulnerabilidad a canales e infraestructuras.,"slower to build, and less dependent on a single recommendation system."
E122,nuggets.html,1126,1126,Alta,Argumento,Nothing survives in between.,El resumen de The Great Contraction intensifica la falsa dicotomía.,The essay asks whether the middle is becoming harder to sustain.
E123,nuggets.html,1202,1202,Alta,Argumento,The fastest-growing market in tech is the market for less tech.,Superlativo cuantitativo sin comparación o medición expuesta.,Some people pay for tools that limit how much technology they use.
E124,nuggets.html,1194,1194,Alta,Argumento,A person who can reason well is a hundred times more productive.,Multiplicador no sustentado; no debe sobrevivir como dato al comprimir una hipérbole.,The value of the output still depends on how well the person directs and checks the work.
E125,nuggets.html,1409,1409,Media,Redundancia,The Floor Was Made of Assumptions,"La tarjeta vuelve a narrar la misma metáfora en título, cita y explicación.",Who do readers think is answering? [Desarrollar la pregunta una vez y enlazar al ensayo.]
E126,about.html,167,167,Media,Estilo,"Together they provide inspectable evidence across media products, audience interaction, content workflows, editorial operations, AI agents, automation, and product strategy.",Explica cómo debe interpretarse la reputación del autor; lista larga que los proyectos ya muestran.,You can try the products or open their public repositories.
E127,about.html,134,134,Media,Estilo,"These remain supporting experience, not the center of the current work.",Parece una instrucción interna de posicionamiento expuesta al público.,Eliminar. La experiencia de docencia y el programa pueden figurar sin jerarquizarlos defensivamente.
E128,about.html,126,126,Media,Estilo,"His focus is not AI as a standalone category, but how it changes the systems behind media products, content, distribution and communities.",Cierre defensivo de bio que vuelve a enumerar categorías ya mencionadas.,"His current work applies AI to the research, production, and distribution workflows behind media products."
E129,ai-media.html,103,103,Media,Estilo,The least interesting version of an agent is a synthetic personality performing busyness.,Caricatura de una alternativa ajena que retrasa los criterios útiles.,"I evaluate agents by the work they can complete, the limits on their actions, and how they report problems."
